[syntax],[category1],[category2]
GETID,スクリプト関数,ウィンドウ関連
CLKITEM,スクリプト関数,ウィンドウ関連
CHKBTN,スクリプト関数,ウィンドウ関連
CTRLWIN,スクリプト関数,ウィンドウ関連
SENDSTR,スクリプト関数,ウィンドウ関連
GETSTR,スクリプト関数,ウィンドウ関連
GETITEM,スクリプト関数,ウィンドウ関連
GETSLCTLST,スクリプト関数,ウィンドウ関連
SETSLIDER,スクリプト関数,ウィンドウ関連
GETSLIDER,スクリプト関数,ウィンドウ関連
SCKEY,スクリプト関数,ウィンドウ関連
GETALLWIN,スクリプト関数,ウィンドウ関連
STATUS,スクリプト関数,ウィンドウ関連
MOUSEORG,スクリプト関数,ウィンドウ関連
PEEKCOLOR,スクリプト関数,ウィンドウ関連
CHKIMG,スクリプト関数,ウィンドウ関連
SAVEIMG,スクリプト関数,ウィンドウ関連
MUSCUR,スクリプト関数,ウィンドウ関連
POSACC,スクリプト関数,ウィンドウ関連
INPUT,スクリプト関数,ダイアログ/表示関連
MSGBOX,スクリプト関数,ダイアログ/表示関連
SLCTBOX,スクリプト関数,ダイアログ/表示関連
POPUPMENU,スクリプト関数,ダイアログ/表示関連
BALLOON,スクリプト関数,ダイアログ/表示関連
FUKIDASI,スクリプト関数,ダイアログ/表示関連
STOPFORM,スクリプト関数,ダイアログ/表示関連
LOGPRINT,スクリプト関数,ダイアログ/表示関連
MONITOR,スクリプト関数,ダイアログ/表示関連
EXEC,スクリプト関数,制御関数関連
SLEEP,スクリプト関数,制御関数関連
DOSCMD,スクリプト関数,制御関数関連
POWERSHELL,スクリプト関数,制御関数関連
SOUND,スクリプト関数,制御関数関連
GETTIME,スクリプト関数,制御関数関連
POFF,スクリプト関数,制御関数関連
KINDOFOS,スクリプト関数,制御関数関連
CPUUSERATE,スクリプト関数,制御関数関連
GETKEYSTATE,スクリプト関数,制御関数関連
SETHOTKEY,スクリプト関数,制御関数関連
LOCKHARD,スクリプト関数,制御関数関連
LOCKHARDEX,スクリプト関数,制御関数関連
EVAL,スクリプト関数,制御関数関連
SENSOR,スクリプト関数,制御関数関連
GETCTLHND,スクリプト関数,システム関数関連
IDTOHND,スクリプト関数,システム関数関連
HNDTOID,スクリプト関数,システム関数関連
VARTYPE,スクリプト関数,システム関数関連
MMV,スクリプト関数,ウィンドウ関数低レベル
BTN,スクリプト関数,ウィンドウ関数低レベル
KBD,スクリプト関数,ウィンドウ関数低レベル
ACW,スクリプト関数,ウィンドウ関数低レベル
COPY,スクリプト関数,文字操作関連
POS,スクリプト関数,文字操作関連
LENGTH,スクリプト関数,文字操作関連
CHKNUM,スクリプト関数,文字操作関連
VAL,スクリプト関数,文字操作関連
REPLACE,スクリプト関数,文字操作関連
CHGMOJ,スクリプト関数,文字操作関連
TRIM,スクリプト関数,文字操作関連
FORMAT,スクリプト関数,文字操作関連
CHR,スクリプト関数,文字操作関連
ASC,スクリプト関数,文字操作関連
ISUNICODE,スクリプト関数,文字操作関連
STRCONV,スクリプト関数,文字操作関連
TOKEN,スクリプト関数,文字操作関連
BETWEENSTR,スクリプト関数,文字操作関連
COPYB,スクリプト関数,文字操作関連
LENGTHB,スクリプト関数,文字操作関連
POSB,スクリプト関数,文字操作関連
CHRB,スクリプト関数,文字操作関連
ASCB,スクリプト関数,文字操作関連
LENGTHS,スクリプト関数,文字操作関連
RESIZE,スクリプト関数,配列操作関連
SETCLEAR,スクリプト関数,配列操作関連
SHIFTARRAY,スクリプト関数,配列操作関連
